PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
46;220;9;27;46220009_27_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.28;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;220;9;27;46220009_27_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.15;V;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
46;220;9;27;46220009_27_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;220;9;27;46220009_27_M;2014;4;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;220;9;27;46220009_27_M;2014;5;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;220;9;27;46220009_27_M;2014;6;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;220;9;27;46220009_27_M;2014;7;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;220;9;27;46220009_27_M;2014;8;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N
46;220;9;27;46220009_27_M;2014;9;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;0.0;N
46;220;9;27;46220009_27_M;2014;10;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;0.08;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N
46;220;9;27;46220009_27_M;2014;11;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;220;9;27;46220009_27_M;2014;12;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.08;V;;N;;N;;N;;N;;N;;N;;N;0.24;V;;N;;N;;N;;N;;N;;N
46;250;50;27;46250050_27_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.22;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;250;50;27;46250050_27_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.19;V;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
46;250;50;27;46250050_27_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.1;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;250;50;27;46250050_27_M;2014;4;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.11;V;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;250;50;27;46250050_27_M;2014;5;0.07;V;;N;;N;;N;;N;;N;;N;;N;0.1;V;;N;;N;;N;;N;;N;;N;;N;0.12;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;0.04;V;;N;;N;;N;;N;;N
46;250;50;27;46250050_27_M;2014;6;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;0.0;N
46;250;50;27;46250050_27_M;2014;7;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N
46;250;50;27;46250050_27_M;2014;8;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V
46;250;50;27;46250050_27_M;2014;9;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.35;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;0.0;N
46;250;50;27;46250050_27_M;2014;10;;N;;N;0.08;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;0.19;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N
46;250;50;27;46250050_27_M;2014;11;;N;;N;;N;;N;;N;;N;;N;;N;0.09;V;;N;;N;;N;0.1;V;;N;;N;;N;;N;;N;;N;;N;;N;0.16;V;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;250;50;27;46250050_27_M;2014;12;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;27;46131002_27_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;27;46131002_27_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
46;131;2;27;46131002_27_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;27;46131002_27_M;2014;4;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;131;2;27;46131002_27_M;2014;5;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.08;V;0.04;V;;N;;N;;N;;N;;N
46;131;2;27;46131002_27_M;2014;6;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N;0.0;N
46;131;2;27;46131002_27_M;2014;7;;N;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;0.04;V;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
46;131;2;27;46131002_27_M;2014;8;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V
46;131;2;27;46131002_27_M;2014;9;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;131;2;27;46131002_27_M;2014;10;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.04;V;;N;;N;;N
46;131;2;27;46131002_27_M;2014;11;;N;;N;;N;0.04;V;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;0.08;V;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
46;131;2;27;46131002_27_M;2014;12;;N;;N;;N;;N;;N;;N;;N;;N;0.12;V;;N;;N;;N;;N;;N;;N;;N;0.11;V;;N;;N;;N;;N;;N;;N;;N;0.26;V;;N;;N;;N;;N;;N;;N
8;96;14;27;08096014_27_M;2014;3;;N;;N;;N;;N;0.29;V;;N;;N;;N;;N;0.35;V;;N;;N;;N;;N;;N;;N;0.16;V;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N
8;96;14;27;08096014_27_M;2014;4;;N;0.14;V;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;0.14;V;;N;;N;0.0;N
8;96;14;27;08096014_27_M;2014;1;;N;;N;0.96;V;;N;;N;;N;;N;;N;;N;0.82;V;;N;;N;0.41;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.96;V;;N;;N;;N;0.16;V;;N;;N;0.45;V;;N
8;96;14;27;08096014_27_M;2014;2;;N;;N;0.37;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.22;V;;N;;N;;N;0.19;V;;N;;N;;N;;N;;N;0.31;V;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
8;22;6;27;08022006_27_M;2014;12;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.64;V;;N;;N;;N;;N;;N;;N;0.97;V;;N;;N;;N;0.51;V;;N
17;22;2;27;17022002_27_M;2014;12;0.14;V;;N;;N;;N;0.63;V;;N;;N;;N;0.54;V;;N;;N;;N;;N;;N;1.11;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;2.09;V;;N;0.63;V;;N;;N
